Country,Total,PerCapita,Population,Total-Z,PerCapita-Z,Combined-Z_Total_PerCapita,MDI,Year
HUN,920,9.399297055179799e-05,9787966,-0.1792713124391243,1.425483718786703,1.2462124063475788,35,2017
ITA,4867,8.039749897867755e-05,60536709,0.5786327972855789,1.004887118365808,1.5835199156513868,39,2017
JPN,4,3.1503008537315314e-08,126972000,-0.3551619039029774,-1.4813572544523803,-1.8365191583553577,0,2017
KOR,696,1.3550897668118307e-05,51361911,-0.222283858823298,-1.0631142091129042,-1.2853980679362023,6,2017
LTU,58,2.0506271560311598e-05,2828403,-0.34479280789964983,-0.8479391342374908,-1.1927319421371405,7,2017
LUX,26,4.359958144401814e-05,596336,-0.3509374573831032,-0.13351245346264354,-0.48444991084574673,16,2017
LVA,37,1.9050090410699356e-05,1942248,-0.34882523412316613,-0.8929883138727748,-1.241813547995941,7,2017
MKD,43,2.072786625416606e-05,2074502,-0.34767311234501863,-0.8410837651974962,-1.1887568775425148,7,2017
MNE,25,4.016883765844598e-05,622373,-0.3511294776794611,-0.23964773279930368,-0.5907772104787647,14,2017
NLD,833,4.862445900181749e-05,17131296,-0.1959770782222632,0.021939779803037813,-0.17403729841922538,19,2017
NOR,437,8.281270608425142e-05,5276968,-0.2720171155799988,1.0796052252334762,0.8075881096534774,30,2017
NZL,200,4.154894465680572e-05,4813600,-0.3175259258168254,-0.19695202278988908,-0.5144779486067145,15,2017
POL,763,2.0092257960576304e-05,37974826,-0.20941849896731748,-0.8607472749216991,-1.0701657738890167,9,2017
PRT,239,2.3203207673562904e-05,10300300,-0.31003713425886664,-0.76450531182941,-1.0745424460882766,9,2017
ROU,1030,5.258129489351394e-05,19588715,-0.15814907983975332,0.14435051896130688,-0.013798560878446442,21,2017
SVK,252,4.633007012754742e-05,5439232,-0.3075408704062137,-0.049040631238344526,-0.3565815016445582,17,2017
SVN,353,0.00017082948604037578,2066388,-0.2881468204740639,3.8025382423368423,3.5143914218627783,62,2017
TUR,1091,1.3449799474091883e-05,81116451,-0.1464358417619203,-1.0662418355793724,-1.2126776773412926,7,2017
USA,30265,9.308809642141614e-05,325122128,5.455564284183986,1.3974900606777871,6.853054344861773,100,2017
ALB,227,7.919407642263261e-05,2866376,-0.34672895001277826,0.5967291317451321,0.25000018173235383,29,2018
AUS,1613,6.456470977022168e-05,24982688,-0.055144616783307544,0.16913532074480367,0.11399070396149613,27,2018
BEL,512,4.480594910989306e-05,11427054,-0.2867711325738178,-0.4083827613521354,-0.6951538939259532,17,2018
BGR,243,3.459056514577788e-05,7025037,-0.3433628971039243,-0.7069626700953343,-1.0503255671992586,13,2018
CAN,1329,3.585584751406472e-05,37065084,-0.1148920559154646,-0.6699804190723121,-0.7848724749877767,16,2018
CZE,473,4.449700882263737e-05,10629928,-0.29497588653914925,-0.4174126091875117,-0.712388495726661,17,2018
DEU,3421,4.126370824172432e-05,82905782,0.32521936191718526,-0.5119169954915039,-0.18669763357431868,23,2018
DNK,642,0.00011081124185226687,5793636,-0.25942195268937973,1.5208500851875804,1.2614281324982006,41,2018
ESP,1956,4.1796877687762533e-05,46797754,0.017015142450248336,-0.496333275378587,-0.4793181329283387,20,2018
EST,154,0.00011649219313195313,1321977,-0.36208656640942427,1.6868955241668486,1.3248089577574245,42,2018
FRA,5329,7.941649368356469e-05,67101930,0.7266211712980151,0.6032300450446513,1.3298512163426663,42,2018
GBR,4791,7.208810113892881e-05,66460344,0.6134376422378021,0.3890324402460296,1.0024700824838317,38,2018
GRC,296,2.7578799431504047e-05,10732882,-0.33221284684334573,-0.9119057612655651,-1.2441186081089108,10,2018
HRV,485,0.00011864447827374974,4087843,-0.2924513468575088,1.7498034974240866,1.4573521505665779,43,2018
HUN,871,8.90997184407979e-05,9775564,-0.21124532043140803,0.8862557614064543,0.6750104409750464,34,2018
ITA,4813,7.965673293859695e-05,60421760,0.6180659649874762,0.6102518677285605,1.2283178327160367,40,2018
JPN,4,3.154300494436603e-08,126811000,-0.3936433124299297,-1.7170695552904245,-2.110712867720354,0,2018
KOR,623,1.2077140632467643e-05,51585058,-0.2634191405186438,-1.3649953255779328,-1.6284144660965767,6,2018
